,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1630169,0022400063,"OCT 23, 2024",IND @ DET,W,35,6,18,0.333,1,9,0.111,2,2,1.0,1,4,5,4,3,2,3,2,15,15,1,15.0,6.0,18.0,3.0,2.0,3.0,0.333,35.0,15.0,,IND,1610612754,DET,1610612765,G,1,0,0,1,0,0,24.0,77,185,1,0,115.0,0,5,0.0,0,1,115.0,0,5,0.0,0
1,22024,1630169,0022400081,"OCT 25, 2024",IND @ NYK,L,26,0,8,0.0,0,7,0.0,0,0,0.0,0,1,1,5,1,0,1,2,0,-23,1,7.5,3.0,13.0,2.0,1.0,2.0,0.1665,30.5,-4.0,15.0,IND,1610612754,NYK,1610612752,G,1,0,0,1,0,0,24.0,77,185,1,1,106.5,1,4,23.0,1,1,115.0,0,4,21.8,0
2,22024,1630169,0022400097,"OCT 27, 2024",IND vs. PHI,L,37,8,18,0.444,4,9,0.444,2,5,0.4,1,3,4,2,0,1,3,2,22,-9,1,12.333333333333334,4.666666666666667,14.666666666666666,1.3333333333333333,1.0,2.3333333333333335,0.259,32.666666666666664,-5.666666666666667,7.5,IND,1610612754,PHI,1610612755,G,1,0,0,1,0,0,24.0,77,185,1,2,109.0,1,4,42.6,1,2,117.66666666666667,0,4,43.2,1
3,22024,1630169,0022400102,"OCT 28, 2024",IND @ ORL,L,35,6,15,0.4,4,9,0.444,3,4,0.75,3,6,9,10,1,0,1,1,19,3,1,14.0,5.0,14.75,1.25,0.75,2.0,0.29425,33.25,-3.5,12.333333333333334,IND,1610612754,ORL,1610612753,G,1,0,0,1,0,0,24.0,77,185,1,3,110.5,1,4,65.4,3,1,109.25,2,4,68.6,0
4,22024,1630169,0022400119,"OCT 30, 2024",IND vs. BOS,W,40,7,19,0.368,2,10,0.2,1,1,1.0,0,6,6,12,2,0,1,5,17,9,1,14.6,5.4,15.6,1.4,0.6,1.8,0.309,34.6,-1.0,14.0,IND,1610612754,BOS,1610612738,G,1,0,0,1,0,0,24.0,77,185,2,3,115.4,1,4,88.4,4,1,114.4,4,4,99.4,1
5,22024,1630169,0022400138,"NOV 01, 2024",IND @ NOP,L,33,2,8,0.25,1,6,0.167,6,6,1.0,1,1,2,11,0,0,2,2,11,-19,1,13.8,4.6,13.6,0.8,0.2,1.6,0.29240000000000005,34.2,-7.8,14.6,IND,1610612754,NOP,1610612740,G,1,0,0,1,0,0,24.0,77,185,2,4,115.83333333333333,2,3,115.4,3,3,114.16666666666667,2,3,105.2,0
6,22024,1630169,0022400165,"NOV 04, 2024",IND @ DAL,W,36,10,16,0.625,2,8,0.25,3,6,0.5,0,4,4,12,2,1,2,1,25,9,1,18.8,6.6,15.2,1.0,0.4,1.8,0.41740000000000005,36.2,-1.4,14.0,IND,1610612754,DAL,1610612742,G,1,0,0,1,0,0,24.0,77,185,3,4,118.42857142857143,1,4,116.0,4,3,109.42857142857143,3,4,108.4,0
7,22024,1630169,0022400170,"NOV 06, 2024",IND vs. ORL,W,37,6,11,0.545,3,5,0.6,2,2,1.0,0,3,3,4,1,0,1,4,17,6,1,17.8,6.2,13.8,1.2,0.2,1.4,0.43760000000000004,36.2,1.6,15.571428571428571,IND,1610612754,ORL,1610612753,G,1,0,0,1,0,0,24.0,77,185,4,4,118.375,2,3,123.2,3,6,109.66666666666667,1,3,99.6,1
8,22024,1630169,0022400184,"NOV 08, 2024",IND @ CHA,L,34,2,11,0.182,0,4,0.0,2,2,1.0,1,6,7,9,1,1,2,1,6,-21,1,15.2,5.4,13.0,1.2,0.4,1.6,0.394,36.0,-3.2,15.75,IND,1610612754,CHA,1610612766,G,1,0,0,1,0,0,24.0,77,185,4,5,114.44444444444444,3,2,124.0,4,5,113.11111111111111,2,2,110.2,0
9,22024,1630169,0022400203,"NOV 10, 2024",IND vs. NYK,W,35,11,18,0.611,4,10,0.4,9,11,0.818,0,2,2,14,2,0,2,1,35,12,1,18.8,6.2,12.8,1.2,0.4,1.8,0.4426,35.0,-2.6,14.666666666666666,IND,1610612754,NYK,1610612752,G,1,0,0,1,0,0,24.0,77,185,5,5,116.2,3,2,117.6,4,5,111.22222222222223,3,2,114.6,1
