,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,MA_FGM,AVG_FGM,MA_FGA,AVG_FGA,MA_FG_PCT,AVG_FG_PCT,MA_FG3M,AVG_FG3M,MA_FG3A,AVG_FG3A,MA_FG3_PCT,AVG_FG3_PCT,MA_FTM,AVG_FTM,MA_FTA,AVG_FTA,MA_FT_PCT,AVG_FT_PCT,MA_OREB,AVG_OREB,MA_STL,AVG_STL,target
0,22024,1626164,0022400071,"OCT 23, 2024",PHX @ LAC,W,32,5,9,0.556,4,5,0.8,1,2,0.5,0,4,4,6,1,1,4,6,15,-4,1,PHX,1610612756,LAC,1610612746,0,G,1,0,0,1,0,0,28.0,78,206,1,0,116.0,1,4,116.0,0,1,116.0,0,5,113.0,-4.0,-4.0,32.13333333333333,32.13333333333333,15.0,15.0,5.0,5.0,9.0,9.0,0.556,0.556,4.0,4.0,5.0,5.0,0.8,0.8,1.0,1.0,2.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,0
1,22024,1626164,0022400085,"OCT 25, 2024",PHX @ LAL,L,35,9,21,0.429,4,10,0.4,1,2,0.5,2,1,3,4,1,1,2,3,23,-10,1,PHX,1610612756,LAL,1610612747,0,G,1,0,0,1,0,0,28.0,78,206,1,1,116.0,1,4,116.0,2,0,109.5,2,3,116.5,-7.0,-4.0,33.733333333333334,33.733333333333334,19.0,19.0,7.0,7.0,15.0,15.0,0.467,0.467,4.0,4.0,7.5,7.5,0.533,0.533,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1
2,22024,1626164,0022400095,"OCT 26, 2024",PHX vs. DAL,W,37,4,12,0.333,2,8,0.25,11,12,0.917,0,1,1,5,1,0,1,3,21,7,1,PHX,1610612756,DAL,1610612742,1,G,1,0,0,1,0,0,28.0,78,206,2,1,115.3,2,3,115.3,1,1,111.5,1,4,111.0,-2.3333333333333335,-7.0,34.85,34.85,19.7,19.7,6.0,6.0,14.0,14.0,0.429,0.429,3.3333333333333335,3.3333333333333335,7.666666666666667,7.666666666666667,0.435,0.435,4.333333333333333,4.333333333333333,5.333333333333333,5.333333333333333,0.813,0.813,0.6666666666666666,0.6666666666666666,1.0,1.0,1
3,22024,1626164,0022400111,"OCT 28, 2024",PHX vs. LAL,W,39,11,23,0.478,3,8,0.375,8,8,1.0,1,2,3,2,1,0,2,1,33,2,1,PHX,1610612756,LAL,1610612747,1,G,1,0,0,1,0,0,28.0,78,206,3,1,113.8,3,2,113.8,3,1,113.8,3,2,117.3,-1.25,-2.3333333333333335,35.99166666666667,35.99166666666667,23.0,23.0,7.25,7.25,16.25,16.25,0.446,0.446,3.25,3.25,7.75,7.75,0.419,0.419,5.25,5.25,6.0,6.0,0.875,0.875,0.75,0.75,1.0,1.0,1
4,22024,1626164,0022400131,"OCT 31, 2024",PHX @ LAC,W,38,11,18,0.611,5,9,0.556,13,15,0.867,1,4,5,8,3,0,2,1,40,20,1,PHX,1610612756,LAC,1610612746,0,G,1,0,0,1,0,0,28.0,78,206,4,1,116.0,4,1,116.0,2,3,111.0,2,3,111.6,3.0,-1.25,36.35,36.35,26.4,26.4,8.0,8.0,16.6,16.6,0.482,0.482,3.6,3.6,8.0,8.0,0.45,0.45,6.8,6.8,7.8,7.8,0.872,0.872,0.8,0.8,1.4,1.4,1
5,22024,1626164,0022400149,"NOV 02, 2024",PHX vs. POR,W,36,9,23,0.391,2,10,0.2,8,9,0.889,3,6,9,9,0,0,1,1,28,7,1,PHX,1610612756,POR,1610612757,1,G,1,0,0,1,0,0,28.0,78,206,5,1,113.8,4,1,113.4,2,5,114.9,2,3,108.0,5.2,3.0,37.13,36.29722221666667,29.0,26.7,8.8,8.166666666666666,19.4,17.666666666666668,0.454,0.462,3.2,3.3333333333333335,9.0,8.333333333333334,0.356,0.4,8.2,7.0,9.2,8.0,0.891,0.875,1.4,1.1666666666666667,1.2,1.17,1
6,22024,1626164,0022400167,"NOV 04, 2024",PHX vs. PHI,W,38,3,18,0.167,0,6,0.0,7,7,1.0,2,1,3,6,1,1,2,1,13,1,1,PHX,1610612756,PHI,1610612755,1,G,1,0,0,1,0,0,28.0,78,206,6,1,114.4,5,0,113.8,1,5,116.7,1,4,108.6,7.4,3.6666666666666665,37.70666666666666,36.57142856666667,27.0,24.7,7.6,7.428571428571429,18.8,17.714285714285715,0.404,0.419,2.4,2.857142857142857,8.2,8.0,0.293,0.357,9.4,7.0,10.2,7.857142857142857,0.922,0.891,1.4,1.2857142857142858,1.2,1.14,0
7,22024,1626164,0022400178,"NOV 06, 2024",PHX vs. MIA,W,39,9,17,0.529,2,7,0.286,2,3,0.667,1,3,4,9,0,0,3,1,22,8,1,PHX,1610612756,MIA,1610612748,1,G,1,0,0,1,0,0,28.0,78,206,7,1,114.5,5,0,114.0,3,4,108.6,2,3,110.6,7.6,3.2857142857142856,38.06666666666667,36.860416666666666,27.2,24.4,8.6,7.625,19.8,17.625,0.434,0.433,2.4,2.75,8.0,7.875,0.3,0.349,7.6,6.375,8.4,7.25,0.905,0.879,1.6,1.25,1.0,1.0,0
8,22024,1626164,0022400190,"NOV 08, 2024",PHX @ DAL,W,35,5,13,0.385,1,8,0.125,2,2,1.0,2,4,6,12,0,0,0,2,13,-17,1,PHX,1610612756,DAL,1610612742,0,G,1,0,0,1,0,0,28.0,78,206,8,1,114.4,5,0,115.0,5,4,108.8,2,3,113.8,3.8,3.875,37.09,36.60185185,23.2,23.1,7.4,7.333333333333333,17.8,17.11111111111111,0.416,0.429,2.0,2.5555555555555554,8.0,7.888888888888889,0.25,0.324,6.4,5.888888888888889,7.2,6.666666666666667,0.889,0.883,1.8,1.3333333333333333,0.8,0.89,0
9,22024,1626164,0022400209,"NOV 10, 2024",PHX vs. SAC,L,43,9,22,0.409,3,10,0.3,2,2,1.0,0,1,1,12,2,0,2,2,23,-9,1,PHX,1610612756,SAC,1610612758,1,G,1,0,0,1,0,0,28.0,78,206,8,2,114.8,4,1,113.6,6,4,113.0,3,2,117.2,-2.0,1.5555555555555556,38.18666666666667,37.26833333333333,19.8,23.1,7.0,7.5,18.6,17.6,0.376,0.426,1.6,2.6,8.2,8.1,0.195,0.321,4.2,5.5,4.6,6.2,0.913,0.887,1.6,1.2,0.6,1.0,0
