,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,MA_FGM,AVG_FGM,MA_FGA,AVG_FGA,MA_FG_PCT,AVG_FG_PCT,MA_FG3M,AVG_FG3M,MA_FG3A,AVG_FG3A,MA_FG3_PCT,AVG_FG3_PCT,MA_FTM,AVG_FTM,MA_FTA,AVG_FTA,MA_FT_PCT,AVG_FT_PCT,MA_OREB,AVG_OREB,MA_STL,AVG_STL,target
0,22024,1628378,0022400067,"OCT 23, 2024",CLE @ TOR,W,28,7,14,0.5,2,5,0.4,5,7,0.714,0,2,2,3,3,1,2,2,21,31,1,CLE,1610612739,TOR,1610612761,0,G,1,0,0,1,0,0,28.0,75,215,1,0,136.0,1,4,136.0,0,1,136.0,0,5,106.0,31.0,31.0,27.666666666666668,27.666666666666668,21.0,21.0,7.0,7.0,14.0,14.0,0.5,0.5,2.0,2.0,5.0,5.0,0.4,0.4,5.0,5.0,7.0,7.0,0.714,0.714,0.0,0.0,3.0,3.0,0
1,22024,1628378,0022400080,"OCT 25, 2024",CLE vs. DET,W,30,8,21,0.381,1,8,0.125,2,4,0.5,1,1,2,5,0,0,2,3,19,11,1,CLE,1610612739,DET,1610612765,1,G,1,0,0,1,0,0,28.0,75,215,2,0,124.5,2,3,124.5,0,2,114.0,0,5,105.0,21.0,31.0,28.891666666666666,28.891666666666666,20.0,20.0,7.5,7.5,17.5,17.5,0.429,0.429,1.5,1.5,6.5,6.5,0.231,0.231,3.5,3.5,5.5,5.5,0.636,0.636,0.5,0.5,1.5,1.5,0
2,22024,1628378,0022400090,"OCT 26, 2024",CLE @ WAS,W,29,11,18,0.611,6,11,0.545,2,3,0.667,1,3,4,5,4,0,5,1,30,18,1,CLE,1610612739,WAS,1610612764,0,G,1,0,0,1,0,0,28.0,75,215,3,0,128.0,3,2,128.0,0,2,128.5,0,5,109.0,20.0,21.0,29.027777766666667,29.027777766666667,23.3,23.3,8.666666666666666,8.666666666666666,17.666666666666668,17.666666666666668,0.491,0.491,3.0,3.0,8.0,8.0,0.375,0.375,3.0,3.0,4.666666666666667,4.666666666666667,0.643,0.643,0.6666666666666666,0.6666666666666666,2.33,2.33,1
3,22024,1628378,0022400106,"OCT 28, 2024",CLE @ NYK,W,33,9,17,0.529,3,8,0.375,4,4,1.0,0,2,2,5,0,0,4,3,25,7,1,CLE,1610612739,NYK,1610612752,0,G,1,0,0,1,0,0,28.0,75,215,4,0,123.5,4,1,123.5,1,2,113.3,1,4,112.0,16.75,20.0,30.083333333333332,30.083333333333332,23.8,23.8,8.75,8.75,17.5,17.5,0.5,0.5,3.0,3.0,8.0,8.0,0.375,0.375,3.25,3.25,4.5,4.5,0.722,0.722,0.5,0.5,1.75,1.75,1
4,22024,1628378,0022400118,"OCT 30, 2024",CLE vs. LAL,W,30,10,20,0.5,4,10,0.4,0,0,0.0,1,2,3,7,3,0,2,3,24,5,1,CLE,1610612739,LAL,1610612747,1,G,1,0,0,1,0,0,28.0,75,215,5,0,125.6,5,0,125.6,3,2,117.8,3,2,115.8,14.4,16.75,30.156666666666666,30.156666666666666,23.8,23.8,9.0,9.0,18.0,18.0,0.5,0.5,3.2,3.2,8.4,8.4,0.381,0.381,2.6,2.6,3.6,3.6,0.722,0.722,0.6,0.6,2.0,2.0,1
5,22024,1628378,0022400133,"NOV 01, 2024",CLE vs. ORL,W,22,9,15,0.6,2,5,0.4,2,2,1.0,0,3,3,1,0,0,1,5,22,1,1,CLE,1610612739,ORL,1610612753,1,G,1,0,0,1,0,0,28.0,75,215,6,0,124.7,5,0,122.4,3,3,109.8,2,3,110.8,8.4,14.4,29.036666666666665,28.808333333333334,24.0,23.5,9.4,9.0,18.2,17.5,0.516,0.514,3.2,3.0,8.4,7.833333333333333,0.381,0.383,2.0,2.5,2.6,3.3333333333333335,0.769,0.75,0.6,0.5,1.4,1.67,0
6,22024,1628378,0022400145,"NOV 02, 2024",CLE @ MIL,W,35,11,25,0.44,4,8,0.5,4,4,1.0,2,1,3,4,0,0,1,1,30,-8,1,CLE,1610612739,MIL,1610612749,0,G,1,0,0,1,0,0,28.0,75,215,7,0,123.1,5,0,122.6,1,5,118.7,0,5,108.8,4.6,12.166666666666666,29.923333333333332,29.628571416666666,26.2,24.4,10.0,9.285714285714286,19.0,18.571428571428573,0.526,0.5,3.8,3.142857142857143,8.4,7.857142857142857,0.452,0.4,2.4,2.7142857142857144,2.6,3.4285714285714284,0.923,0.792,0.8,0.7142857142857143,1.4,1.43,1
7,22024,1628378,0022400154,"NOV 04, 2024",CLE vs. MIL,W,31,5,15,0.333,3,7,0.429,1,2,0.5,0,4,4,4,2,0,4,0,14,3,1,CLE,1610612739,MIL,1610612749,1,G,1,0,0,1,0,0,28.0,75,215,8,0,122.3,5,0,118.8,1,6,118.3,0,5,107.2,1.6,9.285714285714286,30.28,29.810416666666665,23.0,23.1,8.8,8.75,18.4,18.125,0.478,0.483,3.2,3.125,7.6,7.75,0.421,0.403,2.2,2.5,2.4,3.25,0.917,0.769,0.6,0.625,1.0,1.5,0
8,22024,1628378,0022400175,"NOV 06, 2024",CLE @ NOP,W,34,10,20,0.5,3,9,0.333,6,6,1.0,0,4,4,3,1,1,2,1,29,4,1,CLE,1610612739,NOP,1610612740,0,G,1,0,0,1,0,0,28.0,75,215,9,0,123.2,5,0,123.0,3,6,117.8,1,4,109.4,1.0,8.5,30.373333333333335,30.244444433333335,23.8,23.8,9.0,8.88888888888889,19.0,18.333333333333332,0.474,0.485,3.2,3.111111111111111,7.8,7.888888888888889,0.41,0.394,2.6,2.888888888888889,2.8,3.5555555555555554,0.929,0.813,0.6,0.5555555555555556,1.2,1.44,1
9,22024,1628378,0022400188,"NOV 08, 2024",CLE vs. GSW,W,26,4,13,0.308,2,7,0.286,2,2,1.0,0,5,5,4,0,0,4,4,12,7,1,CLE,1610612739,GSW,1610612744,1,G,1,0,0,1,0,0,28.0,75,215,10,0,124.5,5,0,123.4,7,2,108.7,4,1,118.2,1.4,8.0,29.57,29.863333333333333,21.4,22.6,7.8,8.4,17.6,17.8,0.443,0.472,2.8,3.0,7.2,7.8,0.389,0.385,3.0,2.8,3.2,3.4,0.938,0.824,0.4,0.5,0.6,1.3,0
